name,id,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,strength
Arsenal,1,1180,1240,1170,1170,1150,1200,4
Bournemouth,2,1020,1020,990,1030,1000,1050,2
Brighton,3,1050,1010,1100,1100,1040,1030,2
Burnley,4,1110,1180,1130,1070,970,1110,3
Chelsea,5,1220,1230,1240,1240,1220,1250,4
Crystal Palace,6,1130,1120,1080,1180,1040,1040,3
Everton,7,1100,1240,1100,1210,1170,1180,3
Huddersfield,8,1040,1000,1090,1090,1030,1020,2
Leicester,9,1210,1160,1150,1080,1210,1100,3
Liverpool,10,1340,1350,1310,1320,1310,1330,5
Man City,11,1330,1340,1260,1270,1320,1320,5
Man Utd,12,1220,1300,1260,1330,1180,1260,4
Newcastle,13,1090,1100,1030,1040,980,990,3
Southampton,14,1150,1040,1080,1050,1110,1080,3
Spurs,15,1180,1240,1100,1130,1200,1140,4
Stoke City,16,1150,1140,1130,1120,1030,1150,2
Swansea,17,1140,1030,1070,1040,1100,1070,2
Watford,18,1030,1140,1120,1120,1020,1150,3
West Brom,19,1130,1020,1060,1030,1090,1060,2
West Ham,20,1040,1030,1000,1030,1030,1150,2
